source,file,importPath,importedSymbols,feature,importKind,needsImportUpdateOnMove,testWorkspaceImpact
src/components/common/AppProviders.tsx,src/app/layout.tsx,../components/common/AppProviders,"""./globals.css""; import type React from ""react""; import AppProviders",app,static,True,False
src/components/common/AppProviders.tsx,src/app/layout.tsx,components/common/AppProviders,,app,static,True,False
src/components/common/AppProviders.tsx,src/components/autorestore/AutoRestoreWorkspace.tsx,../common/AppProviders,"React, { useEffect, useState } from ""react""; import { useUi }",restore,static,True,False
src/components/common/AppProviders.tsx,src/components/history/DetailHistoryView.tsx,../common/AppProviders,"React, { useEffect, useMemo, useState } from ""react""; import { type HistoryRunRecord, type HistoryOutputField, updateHistoryRun, getOriginalHistoryImage, getProcessedHistoryImage, syncHistoryIndexAndDetailOnSave, syncHistoryDetailTableRowsOnSave, } from ""@/lib/historyStore""; import { buildInvoicePreviewCols, normalizeTableCell, } from ""@/common/utils/invoiceTableDisplay""; import { resolveFieldLabel } from ""@/common/utils/invoiceFieldLabels""; import { getGroundTruth, saveGroundTruth, fieldKey, compareToGt, type GroundTruthMap, type MatchStatus, } from ""@/lib/groundTruthStore""; import { useUi }",history,static,True,False
src/components/common/AppProviders.tsx,src/components/history/HistoryWorkspace.tsx,../common/AppProviders,"React, { useEffect, useMemo, useState } from ""react""; import { useUi }",history,static,True,False
src/components/common/AppProviders.tsx,src/components/login/LoginWorkspace.tsx,../common/AppProviders,"React, { useEffect, useState } from ""react""; import { useRouter } from ""next/navigation""; import api, { ApiResponseError } from ""@/lib/axios""; import { useUi }",login,static,True,False
src/components/common/AppProviders.tsx,src/components/runocr/RunOcrWorkspace.tsx,../common/AppProviders,"하지 않도록). */ ""use client""; import React, { useEffect, useMemo, useRef, useState } from ""react""; import dynamic from ""next/dynamic""; import { useRouter } from ""next/navigation""; import { useUi }",runocr,static,True,False
src/components/common/AppProviders.tsx,src/components/runocr/ui/OcrResultPanel.tsx,../common/AppProviders,,runocr,static,True,False
src/components/common/AppProviders.tsx,src/components/runocr/ui/OcrResultPanel.tsx,../../common/AppProviders,"React, { useEffect, useMemo, useRef, useState } from ""react""; import Markdown from ""react-markdown""; import remarkGfm from ""remark-gfm""; import type { AutofillAction, AutofillRunSummary, AutofillSuggestion, OutputValueSource } from ""@/lib/autofillEngine""; import { getGroundTruth, compareToGt, fieldKey } from ""@/lib/groundTruthStore""; import { useUi }",runocr,static,True,False
src/components/common/AppProviders.tsx,src/components/template/TemplateWorkspace.tsx,../common/AppProviders,"React, { useEffect, useMemo, useState } from ""react""; import { useUi }",template,static,True,False
src/components/common/AppProviders.tsx,src/components/template/ui/TemplateAnnotator.tsx,../common/AppProviders,,template,static,True,False
src/components/common/AppProviders.tsx,src/components/template/ui/TemplateAnnotator.tsx,../../common/AppProviders,"React, { useEffect, useMemo, useRef, useState, useCallback } from ""react""; import type { FieldType, LoadedImage, Region } from ""../../../common/types/ocr""; import { buildExportPayload } from ""../utils/buildTemplateExportPayload""; import OcrCanvasPane from ""../../../common/ui/OcrCanvasPane""; import TemplateRightPanel from ""./TemplateRightPanel""; import { saveTemplateImage, getTemplateImage, deleteTemplateImage } from ""@/lib/imageStore""; import { useUi }",template,static,True,False
src/components/common/AppProviders.tsx,src/components/template/UnstructuredBuilder.tsx,../common/AppProviders,"React, { useEffect, useState } from ""react""; import { useUi }",template,static,True,False
src/components/common/AppProviders.tsx,src/components/test/TestWorkspace.tsx,../common/AppProviders,"React, { useCallback, useEffect, useMemo, useRef, useState } from ""react""; import { extractBizNumber, normalizeBizNumber } from ""@/lib/bizNumber""; import { useUi }",test,static,True,True
src/components/common/RequireLogin.tsx,src/app/autorestore/page.tsx,@/components/common/RequireLogin,"AppShell from ""../../components/layout/AppShell""; import RequireLogin",app,static,True,False
src/components/common/RequireLogin.tsx,src/app/autorestore/page.tsx,components/common/RequireLogin,,app,static,True,False
src/components/common/RequireLogin.tsx,src/app/history/page.tsx,@/components/common/RequireLogin,"AppShell from ""../../components/layout/AppShell""; import RequireLogin",app,static,True,False
src/components/common/RequireLogin.tsx,src/app/history/page.tsx,components/common/RequireLogin,,app,static,True,False
