currentPath,role,importedByCount,mainConsumers,recommendedOwner,recommendedTarget,risk,testWorkspaceImpact,movePhase,notes
src/components/history/HistoryWorkspace.tsx,History route workspace/list controller with create/edit/detail popup orchestration.,0,,history,src/components/history/HistoryWorkspace.tsx,LOW,NO_TEST_IMPACT,,Keep workspace at feature root.
src/components/history/DetailHistoryView.tsx,"History detail view, confirmed result editing, GT comparison, restore profile save/update actions.",1,history,history/ui,src/components/history/ui/DetailHistoryView.tsx,MEDIUM,NO_TEST_IMPACT,HR-2,UI component under history/ui candidate.
src/components/history/popup/CreateHistoryPopup.tsx,History create popup UI.,1,history,history/ui,src/components/history/ui/CreateHistoryPopup.tsx,LOW,NO_TEST_IMPACT,HR-1,Popup UI move candidate.
src/components/history/popup/EditHistoryPopup.tsx,History edit popup UI.,1,history,history/ui,src/components/history/ui/EditHistoryPopup.tsx,LOW,NO_TEST_IMPACT,HR-1,Popup UI move candidate.
src/app/history/page.tsx,Next route page wrapper.,0,,unknown,src/app/history/page.tsx,MEDIUM,NO_TEST_IMPACT,,Review needed.
src/components/autorestore/AutoRestoreWorkspace.tsx,Restore/autofill profile management workspace.,1,app,restore,src/components/restore/RestoreWorkspace.tsx or src/components/restore/AutoRestoreWorkspace.tsx,MEDIUM,NO_TEST_IMPACT,RS-1,Folder/domain rename needs route import update.
src/app/autorestore/page.tsx,Next route page wrapper.,0,,app/route,src/app/autorestore/page.tsx,LOW,NO_TEST_IMPACT,,Route path policy separate from component folder rename.
src/lib/historyStore.ts,Browser history persistence store using localStorage plus imageStore IndexedDB helper.,5,history;lib;runocr,history/utils,src/components/history/utils/historyStore.ts,HIGH,NO_TEST_IMPACT,HR-3,"Browser store used by RunOCR, History, autofillEngine, groundTruthStore."
src/lib/imageStore.ts,IndexedDB image persistence for history and template images.,4,app;lib;runocr;template,history/common boundary,src/components/history/utils/imageStore.ts or src/common/utils/imageStore.ts,HIGH,NO_TEST_IMPACT,HR-4,Used by historyStore plus template image helpers.
src/lib/restoreProfileStore.ts,Browser restore profile localStorage store.,3,history;lib;restore,restore/utils,src/components/restore/utils/restoreProfileStore.ts,MEDIUM_HIGH,NO_TEST_IMPACT,RS-2,"Used by restore workspace, history detail, autofillEngine."
src/lib/profiles.ts,Test/profile policy and document/table column profile definitions.,1,test,test/restore shared policy,DEFER: src/components/test/utils/profiles.ts or src/components/restore/utils/profiles.ts after separate precheck,HIGH,DEFER_DUE_TO_TEST_WORKSPACE_POLICY,RS-3,Direct TestWorkspace import; defer without user approval.
src/lib/autofillEngine.ts,Shared autofill suggestion/candidate engine using biz/history/restore/ground-truth data.,4,common;history;runocr,shared domain util,DEFER_SEPARATE_PRECHECK,HIGH,NO_TEST_IMPACT,AF-1,Imports historyStore/restoreProfileStore/bizNumber and is used by RunOCR/History/common types.
src/lib/bizNumber.ts,Business registration number normalization/extraction utility.,6,history;lib;runocr;test,common/utils,src/common/utils/bizNumber.ts,HIGH,DEFER_DUE_TO_TEST_WORKSPACE_POLICY,BN-1,Shared pure util but TestWorkspace/test-core direct imports.
src/lib/groundTruthStore.ts,Test/history ground-truth localStorage store.,2,history;runocr,test/utils,DEFER: src/components/test/utils/groundTruthStore.ts,HIGH,NO_TEST_IMPACT,TEST-1,TestWorkspace/RunOCR/History consumers; user approval needed.
src/lib/testsets.ts,Test dataset metadata and manifest types.,6,app;lib;test,test/utils,DEFER: src/components/test/utils/testsets.ts,HIGH,DEFER_DUE_TO_TEST_WORKSPACE_POLICY,TEST-1,Test APIs and TestWorkspace direct imports.
