currentPath,lineCount,role,importedBy,ownership,targetPath,risk,notes
src/app/template/page.tsx,281,Template tab route entry,,TEMPLATE_WORKSPACE,src/app/template/page.tsx,MEDIUM,Template route의 실제 entry. OcrAnnotator와 UnstructuredBuilder를 직접 조립한다.
src/app/ocr/page.tsx,48,legacy /ocr route entry,,REVIEW_NEEDED,src/app/ocr/page.tsx,HIGH,OcrAnnotator와 TemplateWorkspace를 직접 import한다. Template 이동 시 legacy route 유지 여부를 먼저 결정해야 한다.
src/components/ocr/TemplateWorkspace.tsx,180,Template workspace wrapper,src/app/ocr/page.tsx,TEMPLATE_WORKSPACE,src/components/template/TemplateWorkspace.tsx,LOW,현재 /ocr route에서 사용. 목표 구조상 components/template 루트로 이동 후보.
src/components/ocr/OcrAnnotator.tsx,442,Template annotation/editor workspace,src/app/ocr/page.tsx; src/app/template/page.tsx,TEMPLATE_PRIVATE_UI,src/components/template/ui/OcrAnnotator.tsx,HIGH,Template page와 legacy /ocr route에서 dynamic import. canvas/right panel/core/save 흐름을 품고 있어 Phase 1에서는 보류 권장.
src/components/ocr/OcrCanvasPane.tsx,1527,OCR region canvas editor/viewer,src/components/ocr/OcrAnnotator.tsx; src/components/runocr/RunOcrWorkspace.tsx,RUNOCR_SHARED_CANDIDATE,src/common/ui/OcrCanvasPane.tsx 또는 src/components/template/ui/OcrCanvasPane.tsx,VERY_HIGH,Template editor와 RunOCR Custom tab이 동시에 사용한다. 바로 template 전용으로 이동하면 RunOCR import 영향이 크다.
src/components/ocr/OcrRightPanel.tsx,507,Template region/right-side property panel,src/components/ocr/OcrAnnotator.tsx,TEMPLATE_PRIVATE_UI,src/components/template/ui/TemplateRightPanel.tsx,HIGH,Template region metadata/documentType/table controls에 가깝다. rename은 별도 phase 권장.
src/components/ocr/core/types.ts,110,Template/canvas region type definitions,src/components/ocr/OcrAnnotator.tsx; src/components/ocr/OcrCanvasPane.tsx; src/components/ocr/OcrRightPanel.tsx; src/components/ocr/core/export.ts; src/components/ocr/core/ops.ts; src/components/ocr/core/table.ts; src/components/runocr/RunOcrWorkspace.tsx; src/components/runocr/utils/buildOcrFormData.ts,COMMON_UTIL_CANDIDATE,src/common/types/ocrCanvas.ts 또는 src/components/template/utils/types.ts,HIGH,RunOCR OcrCanvasPane도 의존하므로 common/types 후보. common 이동은 feature 안정화 후.
src/components/ocr/core/table.ts,151,Template table/column guide helpers,src/components/ocr/OcrCanvasPane.tsx; src/components/ocr/OcrRightPanel.tsx; src/components/ocr/core/export.ts,TEMPLATE_PRIVATE_UTIL,src/components/template/utils/table.ts,MEDIUM,Template table column definition의 기반 후보.
src/components/ocr/core/ops.ts,99,Template region editing operations,src/components/ocr/OcrCanvasPane.tsx; src/components/ocr/OcrRightPanel.tsx; src/components/ocr/core/export.ts; src/components/ocr/core/table.ts,TEMPLATE_PRIVATE_UTIL,src/components/template/utils/ops.ts,HIGH,region add/update/delete/geometry 성격. OcrAnnotator와 같이 이동하는 phase가 안전하다.
src/components/ocr/core/export.ts,90,Template export/serialization helper,src/components/ocr/OcrAnnotator.tsx,TEMPLATE_PRIVATE_UTIL,src/components/template/utils/templateMapper.ts,MEDIUM,목표 구조의 templateMapper.ts 후보. templates.json contract와 연결되어 검증 필요.
src/components/template/UnstructuredBuilder.tsx,311,Unstructured template builder UI,src/app/template/page.tsx,TEMPLATE_PRIVATE_UI,src/components/template/ui/UnstructuredBuilder.tsx,MEDIUM,이미 template 폴더에 있으나 ui 하위로 이동 후보.
src/components/common/FileDropzone.tsx,105,Shared file dropzone UI,src/components/ocr/OcrCanvasPane.tsx; src/components/runocr/RunOcrWorkspace.tsx,COMMON_UI_CANDIDATE,src/common/ui/FileDropzone.tsx,MEDIUM,RunOCR에서 사용. Template에서도 재사용 가능하지만 common 이동은 별도 phase.
src/components/common/RequireLogin.tsx,35,Shared login guard UI,src/app/autorestore/page.tsx; src/app/history/page.tsx,COMMON_UI_CANDIDATE,src/common/ui/RequireLogin.tsx,LOW,route guard 성격. Template 전용 아님.
src/components/runocr/RunOcrWorkspace.tsx,1556,RunOCR workspace using OcrCanvasPane dynamically,src/app/runocr/page.tsx,DO_NOT_MOVE_YET,src/components/runocr/RunOcrWorkspace.tsx,VERY_HIGH,OcrCanvasPane 공유 여부 판단 때문에 읽기 대상. 이번 Template move 범위 아님.
src/components/test/TestWorkspace.tsx,6409,Internal QA/test workspace,src/app/test/page.tsx,TEST_ONLY_OR_TEST_SHARED,NO_MOVE_WITHOUT_USER_CONFIRMATION,VERY_HIGH,사용자 확인 전 작업 금지. 이번 precheck에서는 읽기/영향 기록만.
